run_id,output_dim,hidden_channel,learning_rate,epochs,worker_id,started_at,elapsed_sec,model_dir,final_test_fem_loss,best_test_fem_loss,final_lr,status,error,run_tag
1,64,128,0.0001,1000,1,2026-05-02 23:28:28,42095.969,./model_save/od64_hc128_lr1e-04_run001,0.00261391,0.00261391,1e-05,SUCCESS,,od64_hc128_lr1e-04_run001
2,64,128,0.0003,1000,1,2026-05-03 11:10:23,42799.714,./model_save/od64_hc128_lr3e-04_run002,0.0015421,0.00154155,1e-05,SUCCESS,,od64_hc128_lr3e-04_run002
3,64,128,0.0005,1000,1,2026-05-03 23:04:01,43601.958,./model_save/od64_hc128_lr5e-04_run003,0.00142089,0.00141934,1e-05,SUCCESS,,od64_hc128_lr5e-04_run003
4,64,128,0.001,1000,1,2026-05-04 11:11:02,43988.331,./model_save/od64_hc128_lr1e-03_run004,0.00119726,0.00119618,1e-05,SUCCESS,,od64_hc128_lr1e-03_run004
5,64,128,0.003,1000,1,2026-05-04 23:24:28,44370.59,./model_save/od64_hc128_lr3e-03_run005,0.00114834,0.00114764,1e-05,SUCCESS,,od64_hc128_lr3e-03_run005
6,64,128,0.005,1000,1,2026-05-05 11:44:17,44484.915,./model_save/od64_hc128_lr5e-03_run006,0.00143823,0.00143767,1e-05,SUCCESS,,od64_hc128_lr5e-03_run006
7,64,128,0.01,1000,1,2026-05-06 00:06:00,44516.129,./model_save/od64_hc128_lr1e-02_run007,0.00402425,0.00402367,1e-05,SUCCESS,,od64_hc128_lr1e-02_run007
8,64,256,0.0001,1000,1,2026-05-06 12:28:15,56217.718,./model_save/od64_hc256_lr1e-04_run008,0.00147762,0.00147121,1e-05,SUCCESS,,od64_hc256_lr1e-04_run008
9,64,256,0.0003,1000,1,2026-05-12 07:00:29,55943.659,/public/home/zy/stdy_deeponet/deepOnet_HPO/model_C/Ablation_e_3456/model_save/od64_hc256_lr3e-04_run009,0.0010258908836798,0.001024564924145,1e-05,SUCCESS,,od64_hc256_lr3e-04_run009
10,64,256,0.0005,1000,2,2026-05-12 06:36:42,54516.675,/public/home/zy/stdy_deeponet/deepOnet_HPO/model_C/Ablation_e_3456/model_save/od64_hc256_lr5e-04_run010,0.0009474120623902,0.0009459749297091,1e-05,SUCCESS,,od64_hc256_lr5e-04_run010
11,64,256,0.001,1000,2,2026-05-12 22:04:27,55664.628,/public/home/zy/stdy_deeponet/deepOnet_HPO/model_C/Ablation_e_3456/model_save/od64_hc256_lr1e-03_run011,0.0009382856318138,0.0009379376363736,1e-05,SUCCESS,,od64_hc256_lr1e-03_run011
12,64,256,0.003,1000,2,2026-05-13 13:36:09,55901.939,/public/home/zy/stdy_deeponet/deepOnet_HPO/model_C/Ablation_e_3456/model_save/od64_hc256_lr3e-03_run012,0.0009667238836843,0.0009663002398188,1e-05,SUCCESS,,od64_hc256_lr3e-03_run012
13,64,256,0.005,1000,2,2026-05-14 05:11:32,56123.39,/public/home/zy/stdy_deeponet/deepOnet_HPO/model_C/Ablation_e_3456/model_save/od64_hc256_lr5e-03_run013,0.0013641794099361,0.0013639172327546,1e-05,SUCCESS,,od64_hc256_lr5e-03_run013
14,64,256,0.01,1000,2,2026-05-14 20:45:34,56042.201,/public/home/zy/stdy_deeponet/deepOnet_HPO/model_C/Ablation_e_3456/model_save/od64_hc256_lr1e-02_run014,0.0069327229084753,0.0060755415772337,1e-05,SUCCESS,,od64_hc256_lr1e-02_run014
15,64,512,0.0001,1000,2,2026-05-16 00:17:49,99134.21,/public/home/zy/stdy_deeponet/deepOnet_HPO/model_C/Ablation_e_3456/model_save/od64_hc512_lr1e-04_run015,0.000971799044116,0.0009655787800911,1e-05,SUCCESS,,od64_hc512_lr1e-04_run015
16,64,512,0.0003,1000,2,2026-05-17 03:53:29,99340.643,/public/home/zy/stdy_deeponet/deepOnet_HPO/model_C/Ablation_e_3456/model_save/od64_hc512_lr3e-04_run016,0.0009644674750659,0.0009605530129608,1e-05,SUCCESS,,od64_hc512_lr3e-04_run016
17,64,512,0.0005,1000,2,2026-05-02 23:28:28,96819.507,./model_save/od64_hc512_lr5e-04_run017,0.000935996,0.000932992,1e-05,SUCCESS,,od64_hc512_lr5e-04_run017
