Train samples: 1246, Test samples: 312
Train shapes: ε (1246, 1, 128, 128), X (1246, 477, 2), Ez (1246, 477)
ILU cache built: 1558 samples.
Epoch 0, Total Loss: 0.1616592305327614, test Loss 0.05895996382537869
Epoch 1, Total Loss: 0.052401083248334146, test Loss 0.04241254786910283
Epoch 2, Total Loss: 0.03666759569767374, test Loss 0.028303605490787358
Epoch 3, Total Loss: 0.024669120031522416, test Loss 0.020410417690804532
Epoch 4, Total Loss: 0.017776501493213248, test Loss 0.016972358686522134
Epoch 5, Total Loss: 0.01481329102288968, test Loss 0.012371245549972865
Epoch 6, Total Loss: 0.0115297420009314, test Loss 0.010114644851038036
Epoch 7, Total Loss: 0.009926549663073984, test Loss 0.008336263069919294
Epoch 8, Total Loss: 0.008710209156552667, test Loss 0.00803378268883625
Epoch 9, Total Loss: 0.00806355252594061, test Loss 0.007183083033520513
Epoch 10, Total Loss: 0.007245519746739564, test Loss 0.005959647395526647
Epoch 11, Total Loss: 0.006632634001092705, test Loss 0.006131354095103712
Epoch 12, Total Loss: 0.005763113100088972, test Loss 0.005102010321640563
Epoch 13, Total Loss: 0.0053559082676231, test Loss 0.00498397367899918
Epoch 14, Total Loss: 0.005715762437405843, test Loss 0.005350884547719035
Epoch 15, Total Loss: 0.005187161919496896, test Loss 0.004414552987847847
Epoch 16, Total Loss: 0.0046461060148615735, test Loss 0.003921189147835462
Epoch 17, Total Loss: 0.004056547265622151, test Loss 0.003954207155683299
Epoch 18, Total Loss: 0.003992509922632624, test Loss 0.003433960563267167
Epoch 19, Total Loss: 0.003462047384837506, test Loss 0.003004094505211308
Epoch 20, Total Loss: 0.003233168698268102, test Loss 0.0032037832168722085
Epoch 21, Total Loss: 0.0031391103464562093, test Loss 0.002791086398056923
Epoch 22, Total Loss: 0.00293394838562987, test Loss 0.002784859974814646
Epoch 23, Total Loss: 0.004002513703596952, test Loss 0.0036491310199040024
Epoch 24, Total Loss: 0.003554264630364937, test Loss 0.0030325161170934993
Epoch 25, Total Loss: 0.002817542355053105, test Loss 0.0023407003811852685
Epoch 26, Total Loss: 0.0030014419914137394, test Loss 0.002887259214895946
Epoch 27, Total Loss: 0.002873744591708491, test Loss 0.0023790306212791977
