任务分配到的节点是: node04
系统分给我的显卡是: 4,5,6
/var/spool/slurmd/job04357/slurm_script: line 22: /public/home/zy/miniconda3/etc/profile.d/conda.sh: No such file or directory

CondaError: Run 'conda init' before 'conda activate'

W0509 16:25:46.134468 3676017 torch/distributed/run.py:793] 
W0509 16:25:46.134468 3676017 torch/distributed/run.py:793] *****************************************
W0509 16:25:46.134468 3676017 torch/distributed/run.py:793] Setting OMP_NUM_THREADS environment variable for each process to be 1 in default, to avoid your system being overloaded, please further tune the variable for optimal performance in your application as needed. 
W0509 16:25:46.134468 3676017 torch/distributed/run.py:793] *****************************************
Train samples: 40550, Test samples: 10138
Train shapes: ε (40550, 2, 128, 128), X (40550, 1756, 2), Ez (40550, 1756), Ebz (40550, 2, 128, 128), Lambda (40550, 1)
Training:   0%|          | 0/1000 [00:00<?, ?it/s]Epoch 0, Total Loss: 0.18487376061649594, test Loss 0.07129041276260596
Training:   0%|          | 1/1000 [11:44<195:32:23, 704.65s/it]Epoch 1, Total Loss: 0.05062719179274337, test Loss 0.03823984835994494
Training:   0%|          | 2/1000 [22:44<188:05:09, 678.47s/it]Epoch 2, Total Loss: 0.03205898532824788, test Loss 0.02952184080844364
Training:   0%|          | 3/1000 [33:31<183:52:10, 663.92s/it]Epoch 3, Total Loss: 0.024524959364956175, test Loss 0.020622246188700805
Training:   0%|          | 4/1000 [44:08<180:48:28, 653.52s/it]Epoch 4, Total Loss: 0.019711940959763384, test Loss 0.02435415874578584
Training:   0%|          | 5/1000 [54:40<178:23:59, 645.47s/it]Epoch 5, Total Loss: 0.016280583836286604, test Loss 0.014480213353401961
Training:   1%|          | 6/1000 [1:05:07<176:30:35, 639.27s/it]Epoch 6, Total Loss: 0.014495815352177777, test Loss 0.014035813540481954
Training:   1%|          | 7/1000 [1:15:33<175:08:36, 634.96s/it]Epoch 7, Total Loss: 0.012876047808055818, test Loss 0.012438113199905893
Training:   1%|          | 8/1000 [1:25:57<174:01:32, 631.55s/it]Epoch 8, Total Loss: 0.01172833709297391, test Loss 0.010662502772494566
Training:   1%|          | 9/1000 [1:36:20<173:06:02, 628.82s/it]Epoch 9, Total Loss: 0.011094422027976988, test Loss 0.0103004642558546
Training:   1%|          | 10/1000 [1:46:40<172:09:22, 626.02s/it]Epoch 10, Total Loss: 0.010396686120253646, test Loss 0.009580837535927898
Training:   1%|          | 11/1000 [1:56:59<171:25:34, 624.00s/it]Epoch 11, Total Loss: 0.010007811385162971, test Loss 0.009051376196507348
Training:   1%|          | 12/1000 [2:07:18<170:48:57, 622.41s/it]Epoch 12, Total Loss: 0.00904763135707492, test Loss 0.009617929713596636
Training:   1%|▏         | 13/1000 [2:17:37<170:19:26, 621.24s/it]Epoch 13, Total Loss: 0.008854310511591608, test Loss 0.009179469559115215
Training:   1%|▏         | 14/1000 [2:27:56<170:01:25, 620.78s/it]Epoch 14, Total Loss: 0.00863394096359838, test Loss 0.00943258036959321
Training:   2%|▏         | 15/1000 [2:38:16<169:45:35, 620.44s/it]Epoch 15, Total Loss: 0.008295704656989204, test Loss 0.00825120284382243
Training:   2%|▏         | 16/1000 [2:48:37<169:39:04, 620.68s/it]Epoch 16, Total Loss: 0.007827125176223942, test Loss 0.007780008141317973
Training:   2%|▏         | 17/1000 [2:59:09<170:22:33, 623.96s/it]Epoch 17, Total Loss: 0.007429218112817704, test Loss 0.008124484285910285
Training:   2%|▏         | 18/1000 [3:09:54<171:59:02, 630.49s/it]Epoch 18, Total Loss: 0.007393186039466403, test Loss 0.008180433770152973
Training:   2%|▏         | 19/1000 [3:20:33<172:27:20, 632.87s/it]Epoch 19, Total Loss: 0.006980626386200257, test Loss 0.008438301072583716
Training:   2%|▏         | 20/1000 [3:31:04<172:10:42, 632.49s/it]Epoch 20, Total Loss: 0.006817511257044729, test Loss 0.007024439514752863
Training:   2%|▏         | 21/1000 [3:41:36<171:55:16, 632.19s/it]Epoch 21, Total Loss: 0.006609608502726636, test Loss 0.006836956210208942
Training:   2%|▏         | 22/1000 [3:52:17<172:26:32, 634.76s/it]Epoch 22, Total Loss: 0.006547348018992586, test Loss 0.007082499172905626
Training:   2%|▏         | 23/1000 [4:02:53<172:22:39, 635.17s/it]Epoch 23, Total Loss: 0.006287121160892029, test Loss 0.005664817371059745
Training:   2%|▏         | 24/1000 [4:13:27<172:07:25, 634.88s/it]Epoch 24, Total Loss: 0.006089694158915448, test Loss 0.0062118658155524585
Training:   2%|▎         | 25/1000 [4:23:50<171:01:07, 631.45s/it]Epoch 25, Total Loss: 0.006010404495115718, test Loss 0.006372558600462553
Training:   3%|▎         | 26/1000 [4:34:09<169:47:15, 627.55s/it]Epoch 26, Total Loss: 0.005902220019392439, test Loss 0.005702710733421173
Training:   3%|▎         | 27/1000 [4:44:48<170:33:01, 631.02s/it]Epoch 27, Total Loss: 0.005652821885017599, test Loss 0.005741403275373709
Training:   3%|▎         | 28/1000 [4:55:28<171:04:51, 633.63s/it]Epoch 28, Total Loss: 0.0056481408123149595, test Loss 0.006580328124266373
Training:   3%|▎         | 29/1000 [5:06:09<171:29:14, 635.79s/it]Epoch 29, Total Loss: 0.005510022772668728, test Loss 0.006647734966820428
Training:   3%|▎         | 30/1000 [5:16:55<172:08:58, 638.91s/it]Epoch 30, Total Loss: 0.005425261499726499, test Loss 0.005017758384100943
Training:   3%|▎         | 31/1000 [5:27:35<172:03:05, 639.20s/it]Epoch 31, Total Loss: 0.005402558584306124, test Loss 0.006295014000658936
Training:   3%|▎         | 32/1000 [5:38:13<171:47:22, 638.89s/it]Epoch 32, Total Loss: 0.0052001946142925595, test Loss 0.004873509503369766
Training:   3%|▎         | 33/1000 [5:48:49<171:21:21, 637.93s/it]Epoch 33, Total Loss: 0.005185266152046934, test Loss 0.006665368190562371
Training:   3%|▎         | 34/1000 [5:59:24<170:57:31, 637.11s/it]Epoch 34, Total Loss: 0.005135542633882082, test Loss 0.005151170557331542
Training:   4%|▎         | 35/1000 [6:09:59<170:39:06, 636.63s/it]Epoch 35, Total Loss: 0.005016751017366423, test Loss 0.004837613443049964
Training:   4%|▎         | 36/1000 [6:20:37<170:34:04, 636.98s/it]Epoch 36, Total Loss: 0.004998659385313677, test Loss 0.004886600980262829
Training:   4%|▎         | 37/1000 [6:31:21<170:55:49, 638.99s/it]Epoch 37, Total Loss: 0.005065482208029636, test Loss 0.004428478779031969
Training:   4%|▍         | 38/1000 [6:41:58<170:34:48, 638.35s/it]Epoch 38, Total Loss: 0.004691329626074805, test Loss 0.005108046141987788
Training:   4%|▍         | 39/1000 [6:52:32<170:07:02, 637.28s/it]Epoch 39, Total Loss: 0.004824368140434422, test Loss 0.004600262497444516
Training:   4%|▍         | 40/1000 [7:03:15<170:20:50, 638.80s/it]Epoch 40, Total Loss: 0.004726367386577753, test Loss 0.0051386593835215655
Training:   4%|▍         | 41/1000 [7:13:57<170:27:44, 639.90s/it]Epoch 41, Total Loss: 0.004725429909130082, test Loss 0.0062410815812086635
Training:   4%|▍         | 42/1000 [7:24:21<169:00:00, 635.07s/it]Epoch 42, Total Loss: 0.0047194257016489, test Loss 0.005299984119918796
Training:   4%|▍         | 43/1000 [7:34:40<167:33:51, 630.34s/it]Epoch 43, Total Loss: 0.00451970505705649, test Loss 0.004615815464772851
Training:   4%|▍         | 44/1000 [7:44:58<166:24:25, 626.64s/it]Epoch 44, Total Loss: 0.004537955400660025, test Loss 0.004157231597050646
Training:   4%|▍         | 45/1000 [7:55:16<165:31:14, 623.95s/it]Epoch 45, Total Loss: 0.004523926864011302, test Loss 0.004300892054041661
Training:   5%|▍         | 46/1000 [8:05:33<164:49:48, 622.00s/it]Epoch 46, Total Loss: 0.004583024165294407, test Loss 0.005359749927334525
Training:   5%|▍         | 47/1000 [8:15:51<164:18:46, 620.70s/it]Epoch 47, Total Loss: 0.0043468994837010345, test Loss 0.004482345055251774
Training:   5%|▍         | 48/1000 [8:26:08<163:51:34, 619.64s/it]Epoch 48, Total Loss: 0.004392513671506107, test Loss 0.0044308604523466315
Training:   5%|▍         | 49/1000 [8:36:41<164:42:32, 623.50s/it]Epoch 49, Total Loss: 0.004343516603708207, test Loss 0.005248047880504981
Training:   5%|▌         | 50/1000 [8:47:20<165:46:04, 628.17s/it]Epoch 50, Total Loss: 0.004381721097455069, test Loss 0.00440310556984239
Training:   5%|▌         | 51/1000 [8:58:04<166:53:44, 633.11s/it]Epoch 51, Total Loss: 0.004328130408193795, test Loss 0.004272726544344329
Training:   5%|▌         | 52/1000 [9:08:41<166:58:07, 634.06s/it]Epoch 52, Total Loss: 0.004250326547722039, test Loss 0.003977101120612066
Training:   5%|▌         | 53/1000 [9:19:13<166:37:47, 633.44s/it]Epoch 53, Total Loss: 0.004299145257789921, test Loss 0.0038199006391662297
Training:   5%|▌         | 54/1000 [9:29:55<167:07:02, 635.97s/it]Epoch 54, Total Loss: 0.004196997431397149, test Loss 0.004170491407158307
Training:   6%|▌         | 55/1000 [9:40:40<167:41:11, 638.81s/it]Epoch 55, Total Loss: 0.004260131663856408, test Loss 0.004307864248769519
Training:   6%|▌         | 56/1000 [9:51:21<167:40:42, 639.45s/it]Epoch 56, Total Loss: 0.004205500263982179, test Loss 0.00387822542909823
Training:   6%|▌         | 57/1000 [10:02:06<167:56:59, 641.17s/it]Epoch 57, Total Loss: 0.004118460590534424, test Loss 0.004364171142502817
Training:   6%|▌         | 58/1000 [10:12:49<167:53:11, 641.61s/it]Epoch 58, Total Loss: 0.004065451052244248, test Loss 0.004047583828444747
Training:   6%|▌         | 59/1000 [10:23:31<167:43:36, 641.68s/it]Epoch 59, Total Loss: 0.00409327998966708, test Loss 0.004148046176040136
Training:   6%|▌         | 60/1000 [10:34:13<167:38:25, 642.03s/it]Epoch 60, Total Loss: 0.004011149265835121, test Loss 0.004019886651708765
Training:   6%|▌         | 61/1000 [10:44:51<167:07:23, 640.73s/it]Epoch 61, Total Loss: 0.0041144337662921, test Loss 0.004489202591633998
Training:   6%|▌         | 62/1000 [10:55:33<167:04:00, 641.19s/it]Epoch 62, Total Loss: 0.003998241127302612, test Loss 0.004094527348673713
Training:   6%|▋         | 63/1000 [11:05:58<165:35:27, 636.21s/it]Epoch 63, Total Loss: 0.0040099001138809145, test Loss 0.004351868140553936
Training:   6%|▋         | 64/1000 [11:16:17<164:05:22, 631.11s/it]Epoch 64, Total Loss: 0.0038914419603293024, test Loss 0.003755318288240319
Training:   6%|▋         | 65/1000 [11:26:35<162:51:07, 627.02s/it]Epoch 65, Total Loss: 0.003890993155139023, test Loss 0.004010511264801796
Training:   7%|▋         | 66/1000 [11:36:52<161:56:22, 624.18s/it]Epoch 66, Total Loss: 0.003937160429394646, test Loss 0.004146247688962741
Training:   7%|▋         | 67/1000 [11:47:10<161:14:24, 622.15s/it]Epoch 67, Total Loss: 0.0038999896459162835, test Loss 0.0039046098027926577
Training:   7%|▋         | 68/1000 [11:57:27<160:42:18, 620.75s/it]Epoch 68, Total Loss: 0.0038154489517256093, test Loss 0.004345647092201332
Training:   7%|▋         | 69/1000 [12:07:45<160:19:23, 619.94s/it]Epoch 69, Total Loss: 0.0038285811044811357, test Loss 0.0038513588895299593
Training:   7%|▋         | 70/1000 [12:18:06<160:11:40, 620.11s/it]Epoch 70, Total Loss: 0.0037978343942210464, test Loss 0.003822896083003249
Training:   7%|▋         | 71/1000 [12:28:26<160:00:27, 620.05s/it]Epoch 71, Total Loss: 0.00367858285626345, test Loss 0.0036377169570244437
Training:   7%|▋         | 72/1000 [12:38:43<159:37:16, 619.22s/it]Epoch 72, Total Loss: 0.0038304858143506653, test Loss 0.0036078081854113296
Training:   7%|▋         | 73/1000 [12:49:01<159:22:08, 618.91s/it]Epoch 73, Total Loss: 0.0037846600754292076, test Loss 0.003827905885168961
Training:   7%|▋         | 74/1000 [12:59:21<159:16:12, 619.19s/it]Epoch 74, Total Loss: 0.0037437683546303288, test Loss 0.0038015116013140385
Training:   8%|▊         | 75/1000 [13:09:39<159:00:10, 618.82s/it]Epoch 75, Total Loss: 0.003678462440883016, test Loss 0.003587646111687512
Training:   8%|▊         | 76/1000 [13:19:57<158:44:27, 618.47s/it]Epoch 76, Total Loss: 0.0036924765205707524, test Loss 0.0038024814549115537
Training:   8%|▊         | 77/1000 [13:30:16<158:40:39, 618.89s/it]Epoch 77, Total Loss: 0.003657529968239092, test Loss 0.003598630171686308
Training:   8%|▊         | 78/1000 [13:40:34<158:22:39, 618.39s/it]Epoch 78, Total Loss: 0.0036707919276426945, test Loss 0.0036644406480677003
Training:   8%|▊         | 79/1000 [13:50:51<158:06:18, 618.00s/it]Epoch 79, Total Loss: 0.0037152511251833786, test Loss 0.003489610722582219
Training:   8%|▊         | 80/1000 [14:01:08<157:53:20, 617.83s/it]Epoch 80, Total Loss: 0.003626835508502683, test Loss 0.003470068040308333
Training:   8%|▊         | 81/1000 [14:11:25<157:39:59, 617.63s/it]Epoch 81, Total Loss: 0.003645955889542584, test Loss 0.0035286311066054835
Training:   8%|▊         | 82/1000 [14:21:44<157:35:48, 618.03s/it]Epoch 82, Total Loss: 0.0035928181745563214, test Loss 0.0035393951043924546
Training:   8%|▊         | 83/1000 [14:32:05<157:37:39, 618.82s/it]Epoch 83, Total Loss: 0.003521641287334804, test Loss 0.003210251185556496
Training:   8%|▊         | 84/1000 [14:42:26<157:36:29, 619.42s/it]Epoch 84, Total Loss: 0.003566816646067438, test Loss 0.0037289195932328815
Training:   8%|▊         | 85/1000 [14:52:42<157:12:51, 618.55s/it]Epoch 85, Total Loss: 0.0035848064780281542, test Loss 0.0034677265017047446
Training:   9%|▊         | 86/1000 [15:02:59<156:55:39, 618.10s/it]Epoch 86, Total Loss: 0.0035271038319272937, test Loss 0.0035036127277882213
Training:   9%|▊         | 87/1000 [15:13:17<156:44:35, 618.05s/it]Epoch 87, Total Loss: 0.0034844817006926426, test Loss 0.0037061311380281892
Training:   9%|▉         | 88/1000 [15:23:34<156:30:43, 617.81s/it]Epoch 88, Total Loss: 0.0034863399484146573, test Loss 0.003592527917489218
Training:   9%|▉         | 89/1000 [15:33:52<156:17:18, 617.61s/it]Epoch 89, Total Loss: 0.003461587638335273, test Loss 0.003463472138223645
Training:   9%|▉         | 90/1000 [15:44:08<156:02:33, 617.31s/it]Epoch 90, Total Loss: 0.003449013324515198, test Loss 0.0032939694279008297
Training:   9%|▉         | 91/1000 [15:54:25<155:48:38, 617.07s/it]Epoch 91, Total Loss: 0.003468339011734991, test Loss 0.0037772996255094468
Training:   9%|▉         | 92/1000 [16:04:42<155:39:43, 617.16s/it]Epoch 92, Total Loss: 0.003500929592794137, test Loss 0.00361520956356571
Training:   9%|▉         | 93/1000 [16:14:59<155:28:04, 617.07s/it]Epoch 93, Total Loss: 0.0034178232409677626, test Loss 0.0038386710180658415
