epoch	fem_loss	test_loss	lr
0	1.300846657198e-01	2.236394364090e-02	9.999975572749e-04
1	1.916419471352e-02	1.610278105607e-02	9.999902291238e-04
2	1.317556719188e-02	9.731282482489e-03	9.999780156189e-04
3	7.512412894585e-03	6.280778625201e-03	9.999609168809e-04
4	5.471356407933e-03	5.772923754510e-03	9.999389330784e-04
5	4.779812434529e-03	3.507397170892e-03	9.999120644285e-04
6	3.749707128921e-03	3.814485798812e-03	9.998803111963e-04
7	3.598037564103e-03	2.678888687327e-03	9.998436736952e-04
8	3.826751325522e-03	5.831809892805e-03	9.998021522869e-04
9	3.639473941832e-03	3.763515703503e-03	9.997557473810e-04
10	2.641141869522e-03	2.973250149637e-03	9.997044594357e-04
11	2.485328903082e-03	2.839291191337e-03	9.996482889571e-04
12	3.246978277402e-03	2.090886316373e-03	9.995872364996e-04
13	2.149721787175e-03	2.379396256316e-03	9.995213026657e-04
14	2.858829837799e-03	1.850421095722e-03	9.994504881062e-04
15	3.351938508866e-03	2.394496734547e-03	9.993747935200e-04
16	2.036106813865e-03	3.623738768773e-03	9.992942196542e-04
17	2.528830650833e-03	2.835522980261e-03	9.992087673039e-04
18	1.980426285709e-03	1.842547788166e-03	9.991184373127e-04
19	2.262497793326e-03	2.504728574999e-03	9.990232305720e-04
20	1.873710042484e-03	1.605824794394e-03	9.989231480214e-04
21	1.598118078749e-03	2.270040630440e-03	9.988181906488e-04
22	1.256158774962e-03	1.231088428332e-03	9.987083594900e-04
23	2.717208630861e-03	3.348420267695e-03	9.985936556290e-04
24	2.882384181560e-03	1.103482508579e-03	9.984740801979e-04
25	1.230086843867e-03	1.751658448514e-03	9.983496343768e-04
26	1.391943763032e-03	1.115074149190e-03	9.982203193941e-04
27	9.902303481543e-04	9.632228244073e-04	9.980861365259e-04
28	3.877876760501e-03	8.876002176431e-03	9.979470870966e-04
29	2.803983210570e-03	8.537587993240e-04	9.978031724785e-04
30	9.290242866991e-04	9.369858093843e-04	9.976543940921e-04
31	9.880225879139e-04	8.451422869335e-04	9.975007534057e-04
32	1.027467510232e-03	1.056818397184e-03	9.973422519358e-04
33	9.576394947209e-04	8.463819382939e-04	9.971788912465e-04
34	1.615095718780e-03	1.644980513597e-03	9.970106729503e-04
35	2.384927394161e-03	1.320464969421e-03	9.968375987074e-04
36	1.197257209623e-03	1.071226184738e-03	9.966596702260e-04
37	8.017344199831e-04	6.527113380326e-04	9.964768892621e-04
38	9.426596577843e-04	8.766321667400e-04	9.962892576197e-04
39	1.085696739954e-03	1.522886339304e-03	9.960967771507e-04
40	1.340529521447e-03	1.155488719775e-03	9.958994497547e-04
41	9.836313816889e-04	1.053093174382e-03	9.956972773794e-04
42	1.266776036111e-03	1.932060283468e-03	9.954902620201e-04
43	1.573854636296e-03	1.434287462671e-03	9.952784057198e-04
44	1.158189282479e-03	1.302442941329e-03	9.950617105697e-04
45	1.196752505695e-03	1.028793720381e-03	9.948401787083e-04
46	1.224362882063e-03	1.570983408585e-03	9.946138123221e-04
47	1.338786389826e-03	1.173386076344e-03	9.943826136453e-04
48	8.842310258034e-04	7.912929203427e-04	9.941465849596e-04
49	9.772526756838e-04	9.391634978533e-04	9.939057285946e-04
50	1.389142198192e-03	2.184235804852e-03	9.936600469274e-04
51	1.305706547713e-03	1.038186194725e-03	9.934095423829e-04
52	8.211956180462e-04	8.787419918679e-04	9.931542174333e-04
53	8.042178183699e-04	1.173716705436e-03	9.928940745988e-04
54	2.530379691176e-03	1.612636323853e-03	9.926291164466e-04
55	8.316318340411e-04	6.213861846194e-04	9.923593455920e-04
56	4.698042621975e-04	4.127511746213e-04	9.920847646973e-04
57	4.158917044292e-04	4.812971632219e-04	9.918053764727e-04
58	7.708208237048e-04	8.743302855778e-04	9.915211836755e-04
59	6.158277957362e-04	4.375203105318e-04	9.912321891107e-04
60	7.331472430374e-04	1.030948480873e-03	9.909383956305e-04
61	1.860720916587e-03	3.019807398154e-03	9.906398061344e-04
62	1.576596935198e-03	6.177391674050e-04	9.903364235696e-04
63	4.303583507910e-04	4.718544236896e-04	9.900282509302e-04
64	5.484087648428e-04	8.093282712088e-04	9.897152912578e-04
65	8.979936037997e-04	6.447234633584e-04	9.893975476411e-04
66	6.006867027546e-04	4.516746439097e-04	9.890750232162e-04
67	5.022782448421e-04	4.687085936379e-04	9.887477211663e-04
68	1.302051746427e-03	2.184461913155e-03	9.884156447216e-04
69	1.955680050681e-03	1.334491792912e-03	9.880787971597e-04
70	7.406963380270e-04	4.942712605204e-04	9.877371818051e-04
71	3.402251963194e-04	3.217047106565e-04	9.873908020294e-04
72	4.236471995557e-04	4.099912990648e-04	9.870396612512e-04
73	5.047954246039e-04	4.456225490437e-04	9.866837629362e-04
74	6.703300570442e-04	9.683753187134e-04	9.863231105968e-04
75	8.292508427436e-04	5.129447125833e-04	9.859577077928e-04
76	7.526427152830e-04	8.802251321991e-04	9.855875581303e-04
77	5.622259299425e-04	4.260525323836e-04	9.852126652626e-04
78	5.003715235479e-04	5.711421469895e-04	9.848330328898e-04
79	7.526870039677e-04	9.147673690875e-04	9.844486647587e-04
80	9.621012655076e-04	6.325991373530e-04	9.840595646628e-04
81	5.203139675103e-04	4.800627885004e-04	9.836657364424e-04
82	7.162056267653e-04	1.197882229597e-03	9.832671839844e-04
83	1.514006964861e-03	1.229813601806e-03	9.828639112225e-04
84	6.830252521768e-04	3.716320933702e-04	9.824559221366e-04
85	4.468934568788e-04	3.819792718901e-04	9.820432207536e-04
86	3.880057085682e-04	3.847059490154e-04	9.816258111465e-04
87	3.805263933820e-04	4.510620132894e-04	9.812036974351e-04
88	7.236409090328e-04	1.026750141129e-03	9.807768837855e-04
89	5.508857999887e-04	5.450461513712e-04	9.803453744101e-04
90	1.198646980130e-03	1.024482730839e-03	9.799091735678e-04
91	5.764589658115e-04	4.699424273850e-04	9.794682855636e-04
92	5.760593554029e-04	5.417995789188e-04	9.790227147490e-04
93	4.592816120674e-04	6.318748895588e-04	9.785724655216e-04
94	5.182419715426e-04	3.891476552627e-04	9.781175423252e-04
95	3.590620565746e-04	3.651662560219e-04	9.776579496496e-04
96	6.048048541186e-04	9.907126502345e-04	9.771936920309e-04
97	1.016272579855e-03	1.076781138923e-03	9.767247740510e-04
98	5.570127710777e-04	3.340506322286e-04	9.762512003381e-04
99	3.718771527901e-04	4.375818456787e-04	9.757729755661e-04
100	4.378288673152e-04	4.016581242888e-04	9.752901044549e-04
101	6.268765294441e-04	4.847533659191e-04	9.748025917702e-04
102	4.851537921999e-04	3.627999507027e-04	9.743104423236e-04
103	4.744816240285e-04	1.218885836261e-03	9.738136609724e-04
104	1.003412382884e-03	2.309664245718e-03	9.733122526196e-04
105	8.960415413584e-04	2.809288613530e-04	9.728062222140e-04
106	2.574855982222e-04	2.919825378535e-04	9.722955747498e-04
107	4.780920650768e-04	3.552455697137e-04	9.717803152670e-04
108	3.954687926109e-04	3.455751830145e-04	9.712604488508e-04
109	5.053544848679e-04	5.333689888314e-04	9.707359806323e-04
110	4.832868460625e-04	4.819352279927e-04	9.702069157877e-04
111	6.753025478452e-04	7.276211039315e-04	9.696732595387e-04
112	4.532067834902e-04	4.503849628254e-04	9.691350171521e-04
113	6.412992122382e-04	5.027887621960e-04	9.685921939404e-04
114	4.400117485762e-04	4.940789534012e-04	9.680447952608e-04
115	6.968900137685e-04	5.986873964871e-04	9.674928265160e-04
116	3.293415930334e-04	3.216766253776e-04	9.669362931538e-04
117	2.999274377197e-04	2.338948716459e-04	9.663752006668e-04
118	3.294759071007e-04	4.222594793771e-04	9.658095545929e-04
119	4.435522846602e-04	5.742234052186e-04	9.652393605147e-04
120	1.023667637464e-03	1.395996252578e-03	9.646646240598e-04
121	8.028572293025e-04	2.857511092773e-04	9.640853509007e-04
122	2.893177508580e-04	2.007940573064e-04	9.635015467544e-04
123	1.865392382199e-04	2.139252345957e-04	9.629132173831e-04
124	2.577400323961e-04	2.737671109893e-04	9.623203685931e-04
125	3.914094159200e-04	7.193420770853e-04	9.617230062357e-04
126	6.917869209569e-04	8.567920488545e-04	9.611211362066e-04
127	4.549679023209e-04	3.916653482691e-04	9.605147644461e-04
128	3.269869974102e-04	2.305204002943e-04	9.599038969387e-04
129	2.873384975399e-04	6.701967747122e-04	9.592885397136e-04
130	5.998018353817e-04	6.071240733887e-04	9.586686988439e-04
131	5.063957572451e-04	3.991399242635e-04	9.580443804474e-04
132	4.214648124425e-04	3.327951083462e-04	9.574155906857e-04
133	4.601948732029e-04	1.617068975498e-03	9.567823357647e-04
134	7.442249977838e-04	4.206803864493e-04	9.561446219345e-04
135	3.271212529398e-04	2.361776836914e-04	9.555024554891e-04
136	2.310571520614e-04	2.305149551663e-04	9.548558427662e-04
137	2.826168331787e-04	4.112873415266e-04	9.542047901479e-04
138	4.109414661609e-04	5.298958070252e-04	9.535493040595e-04
139	4.286605251653e-04	2.631849130641e-04	9.528893909707e-04
140	5.088263974799e-04	3.474341753711e-04	9.522250573944e-04
141	5.339942260670e-04	5.848475585600e-04	9.515563098873e-04
142	4.931446718932e-04	4.372340110602e-04	9.508831550497e-04
143	3.147700293676e-04	3.404299532607e-04	9.502055995254e-04
144	3.870740718592e-04	3.678306209110e-04	9.495236500015e-04
145	2.244126040714e-04	5.416289218700e-04	9.488373132087e-04
146	5.201827041300e-04	6.676464812210e-04	9.481465959208e-04
147	5.101852365592e-04	3.797735288279e-04	9.474515049549e-04
148	3.210040571696e-04	4.147306310792e-04	9.467520471712e-04
149	3.959040435709e-04	3.309453333892e-04	9.460482294732e-04
150	3.732810927380e-04	3.803448070566e-04	9.453400588073e-04
151	9.484900674424e-04	7.866069866131e-04	9.446275421627e-04
152	4.537794409512e-04	2.891015048571e-04	9.439106865718e-04
153	2.278643141347e-04	1.745729763322e-04	9.431894991096e-04
154	1.844843653116e-04	1.737980829739e-04	9.424639868939e-04
155	2.575288288637e-04	3.103384870672e-04	9.417341570853e-04
156	3.565826718041e-04	4.410536021904e-04	9.410000168869e-04
157	4.774198927938e-04	5.950236324190e-04	9.402615735443e-04
158	4.074164203113e-04	3.676396603979e-04	9.395188343458e-04
159	2.983991085905e-04	2.098195481700e-04	9.387718066217e-04
160	3.063179222730e-04	3.572545448339e-04	9.380204977451e-04
161	3.777109873501e-04	3.615151332959e-04	9.372649151309e-04
162	3.739395797265e-04	3.628621955878e-04	9.365050662366e-04
163	3.423523933209e-04	4.848201545732e-04	9.357409585614e-04
164	4.303342216866e-04	5.476093618777e-04	9.349725996469e-04
165	4.010625868093e-04	3.857270574990e-04	9.341999970764e-04
166	3.696728421120e-04	3.907423173564e-04	9.334231584752e-04
167	3.140194639615e-04	2.336030574894e-04	9.326420915105e-04
168	3.516581003328e-04	4.383783820767e-04	9.318568038909e-04
169	3.363404683131e-04	2.844638847225e-04	9.310673033670e-04
170	2.737211426620e-04	3.869527033875e-04	9.302735977308e-04
171	3.238137606701e-04	2.222318338635e-04	9.294756948159e-04
172	2.388802765621e-04	2.209647826760e-04	9.286736024972e-04
173	4.544656744068e-04	9.501718197895e-04	9.278673286912e-04
174	4.127230130081e-04	2.411252180264e-04	9.270568813553e-04
175	2.459680223065e-04	2.466798436093e-04	9.262422684884e-04
176	2.516540489733e-04	3.639957405420e-04	9.254234981303e-04
177	4.038611653628e-04	3.158604743972e-04	9.246005783621e-04
178	2.541848227822e-04	2.806506032347e-04	9.237735173056e-04
179	3.224926794857e-04	5.102939389536e-04	9.229423231235e-04
180	8.624633797479e-04	3.967908017872e-04	9.221070040194e-04
181	2.180365842958e-04	1.652163478105e-04	9.212675682376e-04
182	2.700173028558e-04	2.023406989512e-04	9.204240240629e-04
183	1.923849439504e-04	2.078767150536e-04	9.195763798209e-04
184	1.953647352798e-04	2.325299848266e-04	9.187246438773e-04
185	2.849423313837e-04	4.359864409375e-04	9.178688246385e-04
186	5.669420882427e-04	3.712936369140e-04	9.170089305511e-04
187	2.174564916374e-04	2.439820182989e-04	9.161449701019e-04
188	2.325406969277e-04	2.820543502929e-04	9.152769518179e-04
189	2.255232543458e-04	2.287002320931e-04	9.144048842659e-04
190	3.246560372853e-04	3.692115813616e-04	9.135287760530e-04
191	5.236763361117e-04	8.057565381347e-04	9.126486358261e-04
192	5.033591755808e-04	3.141547256130e-04	9.117644722716e-04
193	2.257706652192e-04	1.666380203042e-04	9.108762941161e-04
194	1.666650244537e-04	1.501978502941e-04	9.099841101254e-04
195	1.994898595328e-04	3.647352059692e-04	9.090879291050e-04
196	4.163783490308e-04	3.846747817467e-04	9.081877598999e-04
197	3.839288188516e-04	3.426636755826e-04	9.072836113944e-04
198	3.290192964587e-04	3.432256029779e-04	9.063754925120e-04
199	1.786186128620e-04	1.576237825691e-04	9.054634122156e-04
200	1.991738495312e-04	2.050177026126e-04	9.045473795070e-04
201	2.567735666134e-04	2.657729625866e-04	9.036274034270e-04
202	2.956108433893e-04	2.879618729945e-04	9.027034930555e-04
203	2.702559549217e-04	3.731001576357e-04	9.017756575111e-04
204	5.751224876116e-04	6.463495680654e-04	9.008439059511e-04
205	3.696403553203e-04	1.812987556287e-04	8.999082475716e-04
206	1.757985977179e-04	1.469318653956e-04	8.989686916071e-04
207	1.929156520183e-04	2.536410495053e-04	8.980252473307e-04
208	1.823333254523e-04	1.577178568013e-04	8.970779240537e-04
209	2.010694867672e-04	3.884591856684e-04	8.961267311260e-04
210	4.035655556730e-04	3.016883180486e-04	8.951716779353e-04
211	3.573299864383e-04	3.239110637838e-04	8.942127739076e-04
212	2.928297259252e-04	2.227548347417e-04	8.932500285070e-04
213	1.753840244280e-04	1.643374120028e-04	8.922834512354e-04
214	2.271428212761e-04	2.189198265954e-04	8.913130516325e-04
215	4.229149070143e-04	4.636436865296e-04	8.903388392757e-04
216	3.323247828238e-04	2.442084632984e-04	8.893608237801e-04
217	3.203039393674e-04	3.209490260777e-04	8.883790147984e-04
218	2.221949024927e-04	1.604506895310e-04	8.873934220205e-04
219	1.747558068650e-04	1.832676841446e-04	8.864040551740e-04
220	2.531902146962e-04	2.708900119664e-04	8.854109240234e-04
221	2.396409457352e-04	3.036584091849e-04	8.844140383706e-04
222	2.990919898732e-04	3.497226766512e-04	8.834134080544e-04
223	3.159043250930e-04	2.188272411990e-04	8.824090429507e-04
224	1.567183032663e-04	1.453310191207e-04	8.814009529720e-04
225	2.095651833932e-04	3.684507159003e-04	8.803891480679e-04
226	3.605505292575e-04	2.821895751767e-04	8.793736382245e-04
227	1.978811471878e-04	1.519399017396e-04	8.783544334644e-04
228	1.589674096520e-04	1.470938340155e-04	8.773315438467e-04
229	3.502142492074e-04	4.345434154673e-04	8.763049794671e-04
230	3.419390778691e-04	2.234192327344e-04	8.752747504572e-04
231	2.293380258746e-04	4.853127473531e-04	8.742408669850e-04
232	3.411937922548e-04	3.560862181261e-04	8.732033392545e-04
233	1.865386889584e-04	1.573864753053e-04	8.721621775057e-04
234	2.016287169846e-04	1.791920598492e-04	8.711173920144e-04
235	1.765520271662e-04	2.194419061289e-04	8.700689930923e-04
236	6.160945328439e-04	5.347463684479e-04	8.690169910866e-04
237	2.609591299568e-04	2.580133597861e-04	8.679613963802e-04
238	1.534544802233e-04	1.997907440794e-04	8.669022193913e-04
239	1.384311054179e-04	1.199314810204e-04	8.658394705736e-04
240	1.079290515519e-04	1.531811501776e-04	8.647731604160e-04
241	3.734066267440e-04	7.019671886385e-04	8.637032994426e-04
242	2.979112041314e-04	1.633505365617e-04	8.626298982124e-04
243	1.359785506928e-04	1.695024387590e-04	8.615529673195e-04
244	1.463434039833e-04	1.905131983496e-04	8.604725173928e-04
245	3.441643909932e-04	5.559617803846e-04	8.593885590958e-04
246	4.966840456542e-04	1.810525551666e-04	8.583011031268e-04
247	1.439777528556e-04	1.147973981202e-04	8.572101602186e-04
248	1.414728180922e-04	1.291555482186e-04	8.561157411383e-04
249	1.406820358682e-04	1.434773785411e-04	8.550178566873e-04
250	1.452714546275e-04	1.992191699653e-04	8.539165177015e-04
251	4.995381845184e-04	5.266923723390e-04	8.528117350504e-04
252	3.361213475327e-04	2.663090233996e-04	8.517035196380e-04
253	1.633608849963e-04	1.176870394720e-04	8.505918824018e-04
254	1.102930782779e-04	1.483059681854e-04	8.494768343132e-04
255	1.438849456488e-04	2.181997923541e-04	8.483583863773e-04
256	3.272390534406e-04	3.192823784779e-04	8.472365496328e-04
257	2.815240725493e-04	1.979472006024e-04	8.461113351517e-04
258	2.364977112012e-04	1.745180733917e-04	8.449827540395e-04
259	1.561381619803e-04	1.441251528699e-04	8.438508174347e-04
260	1.055058237364e-04	1.342562434087e-04	8.427155365092e-04
261	2.411630833645e-04	3.169916466729e-04	8.415769224676e-04
262	2.915039410092e-04	2.543359228957e-04	8.404349865477e-04
263	2.382184120612e-04	2.604099298099e-04	8.392897400199e-04
264	2.186922451690e-04	1.432776324886e-04	8.381411941873e-04
265	2.515357365596e-04	2.668227022117e-04	8.369893603857e-04
266	1.578175028752e-04	9.582426411857e-05	8.358342499831e-04
267	1.440373757017e-04	2.526169187696e-04	8.346758743800e-04
268	1.991247986689e-04	1.493129336275e-04	8.335142450091e-04
269	1.704237878743e-04	2.268631000131e-04	8.323493733352e-04
270	2.881913932750e-04	3.341577010293e-04	8.311812708552e-04
271	2.813426035429e-04	2.640254855953e-04	8.300099490977e-04
272	1.820182292553e-04	1.290058550705e-04	8.288354196233e-04
273	1.345351929904e-04	1.268191367838e-04	8.276576940239e-04
274	2.672413981480e-04	3.658252329746e-04	8.264767839234e-04
275	2.649419223203e-04	1.535646788721e-04	8.252927009769e-04
276	1.591017106427e-04	1.591288581690e-04	8.241054568707e-04
277	1.620707874850e-04	1.442401061796e-04	8.229150633224e-04
278	1.454702919353e-04	1.525690625463e-04	8.217215320808e-04
279	2.050639366905e-04	3.857125452947e-04	8.205248749256e-04
280	3.213810439139e-04	3.463545272349e-04	8.193251036672e-04
281	1.857455481259e-04	1.386920332449e-04	8.181222301470e-04
282	1.225727805548e-04	1.084942435553e-04	8.169162662368e-04
283	1.431743308590e-04	1.897293730444e-04	8.157072238389e-04
284	1.974597138104e-04	3.605331742361e-04	8.144951148862e-04
285	3.291936095797e-04	2.203862542638e-04	8.132799513416e-04
286	2.489159030374e-04	2.554173173064e-04	8.120617451984e-04
287	1.748011924039e-04	1.962779854700e-04	8.108405084797e-04
288	1.491342848385e-04	1.778653826438e-04	8.096162532387e-04
289	1.537150246278e-04	1.108810919725e-04	8.083889915582e-04
290	1.527575394449e-04	2.708632923621e-04	8.071587355509e-04
291	3.218017469030e-04	3.250192915218e-04	8.059254973588e-04
292	2.096249074402e-04	1.905427261753e-04	8.046892891536e-04
293	1.365190439352e-04	1.217710790381e-04	8.034501231361e-04
294	1.211492945190e-04	1.295299042199e-04	8.022080115363e-04
295	1.717691597320e-04	1.570871089448e-04	8.009629666135e-04
296	1.642503739069e-04	1.792769988109e-04	7.997150006556e-04
297	2.160311822695e-04	2.819651554417e-04	7.984641259797e-04
298	3.066906684966e-04	2.274035104537e-04	7.972103549314e-04
299	2.622604119304e-04	2.303453477859e-04	7.959536998848e-04
300	1.424442690421e-04	1.027458249293e-04	7.946941732426e-04
301	8.696133354371e-05	8.762000700535e-05	7.934317874359e-04
302	1.200313202093e-04	1.951227923586e-04	7.921665549240e-04
303	1.935523490691e-04	1.697907360847e-04	7.908984881940e-04
304	1.991132819692e-04	2.610368934606e-04	7.896275997614e-04
305	2.097088569524e-04	1.305566968267e-04	7.883539021693e-04
306	1.733685586724e-04	2.318270055382e-04	7.870774079886e-04
307	2.145042378907e-04	1.762219338577e-04	7.857981298177e-04
308	1.785879207085e-04	2.197533073944e-04	7.845160802827e-04
309	1.792654034909e-04	1.140064424745e-04	7.832312720368e-04
310	1.010389672197e-04	1.296060874425e-04	7.819437177606e-04
311	1.410589416887e-04	1.419798115665e-04	7.806534301617e-04
312	1.626601988402e-04	1.512443938186e-04	7.793604219747e-04
313	1.565551741676e-04	2.488696685995e-04	7.780647059611e-04
314	2.184081262284e-04	3.559165880686e-04	7.767662949091e-04
315	2.867721177664e-04	1.398598940139e-04	7.754652016335e-04
316	1.233345620322e-04	1.885418347453e-04	7.741614389755e-04
317	1.343126770995e-04	1.142805732239e-04	7.728550198028e-04
318	1.773799705365e-04	2.066011685733e-04	7.715459570092e-04
319	1.778113766863e-04	1.262993631399e-04	7.702342635146e-04
320	1.145685943226e-04	1.369374178917e-04	7.689199522649e-04
321	2.222540105312e-04	2.034360814227e-04	7.676030362318e-04
322	1.876019071346e-04	1.388173133120e-04	7.662835284128e-04
323	1.683263974615e-04	1.386631747462e-04	7.649614418308e-04
324	1.322062041241e-04	1.474900859746e-04	7.636367895344e-04
325	1.261252141237e-04	1.252175159945e-04	7.623095845973e-04
326	1.384719899984e-04	1.425088750884e-04	7.609798401184e-04
327	2.224280801270e-04	3.142738637095e-04	7.596475692218e-04
328	2.748876216398e-04	1.703249075027e-04	7.583127850566e-04
329	1.216485960867e-04	8.405346023392e-05	7.569755007964e-04
330	9.669584597077e-05	1.108590448050e-04	7.556357296398e-04
331	1.730820648625e-04	2.260247614859e-04	7.542934848097e-04
332	1.502202583927e-04	1.138006527213e-04	7.529487795536e-04
333	1.247281164168e-04	1.270243159709e-04	7.516016271430e-04
334	8.374374470593e-05	9.811153959604e-05	7.502520408740e-04
335	1.584642810991e-04	1.642647185472e-04	7.489000340664e-04
336	2.977439362046e-04	3.933116316435e-04	7.475456200639e-04
337	2.005775355905e-04	1.150665371227e-04	7.461888122340e-04
338	7.619844481741e-05	9.492647093143e-05	7.448296239680e-04
339	1.045507721178e-04	8.494193404890e-05	7.434680686803e-04
340	7.624089593422e-05	8.669360297953e-05	7.421041598092e-04
341	1.534138507105e-04	2.653730297692e-04	7.407379108156e-04
342	2.755718649725e-04	2.483324058178e-04	7.393693351841e-04
343	2.222059427900e-04	1.150907046520e-04	7.379984464218e-04
344	9.781641261314e-05	1.184628181990e-04	7.366252580590e-04
345	9.114414853393e-05	8.188499100455e-05	7.352497836483e-04
346	1.073713596115e-04	1.348548659555e-04	7.338720367653e-04
347	1.963450944806e-04	2.831775836883e-04	7.324920310076e-04
348	1.848344141695e-04	1.334321022618e-04	7.311097799955e-04
349	1.106697744496e-04	1.173507498649e-04	7.297252973711e-04
350	1.100220409737e-04	1.312659899122e-04	7.283385967987e-04
351	1.452858319326e-04	1.059387416786e-04	7.269496919646e-04
352	1.216351747130e-04	1.555878200695e-04	7.255585965766e-04
353	2.123845506971e-04	1.603109323815e-04	7.241653243643e-04
354	1.320978005642e-04	1.011678416308e-04	7.227698890787e-04
355	1.639986741012e-04	1.447367258117e-04	7.213723044922e-04
356	1.345130074776e-04	1.476474482125e-04	7.199725843985e-04
357	1.720198000531e-04	1.280957258252e-04	7.185707426121e-04
358	1.278432684180e-04	1.397563892932e-04	7.171667929687e-04
359	8.384345171417e-05	8.196315103548e-05	7.157607493247e-04
360	8.905783366695e-05	1.045253350300e-04	7.143526255572e-04
361	1.586417254326e-04	1.695229745530e-04	7.129424355638e-04
362	1.778309584910e-04	1.873725773159e-04	7.115301932626e-04
363	2.048467537327e-04	1.297954155804e-04	7.101159125917e-04
364	1.384472082191e-04	1.493751100641e-04	7.086996075095e-04
365	1.220644806145e-04	1.105771762605e-04	7.072812919945e-04
366	1.073586139476e-04	1.041489597173e-04	7.058609800448e-04
367	1.173106366920e-04	1.973983066908e-04	7.044386856783e-04
368	1.714959148892e-04	2.951053400575e-04	7.030144229324e-04
369	2.060298490564e-04	1.138682263366e-04	7.015882058642e-04
370	6.878980887961e-05	6.324526275176e-05	7.001600485498e-04
371	7.234730818493e-05	1.088480572967e-04	6.987299650844e-04
372	1.431299842415e-04	2.288203370162e-04	6.972979695825e-04
373	2.052589497858e-04	2.467312498120e-04	6.958640761773e-04
374	1.996235224182e-04	1.294563732364e-04	6.944282990207e-04
375	9.624579688265e-05	6.867438609701e-05	6.929906522833e-04
376	8.116940500215e-05	1.074584126183e-04	6.915511501540e-04
377	1.085273173750e-04	2.115371296771e-04	6.901098068402e-04
378	1.702413788140e-04	1.587766914474e-04	6.886666365673e-04
379	1.138866451066e-04	1.005893424727e-04	6.872216535789e-04
380	1.097458118472e-04	2.737039584399e-04	6.857748721363e-04
381	3.619689794773e-04	2.552533024168e-04	6.843263065187e-04
382	1.284682805482e-04	8.284331274567e-05	6.828759710229e-04
383	5.988143216821e-05	6.030201067404e-05	6.814238799631e-04
384	5.870968031426e-05	7.152400436314e-05	6.799700476707e-04
