Train samples: 33, Test samples: 8
Train shapes: ε (33, 2, 128, 128), X (33, 3491, 4), Ez (33, 3491), Lambda (33, 1) (2-branch: no Ebz)
ILU cache built: 41 samples.
Epoch 0, Total Loss: 1.4919889494915668, test Loss 1.2594582405554995
Epoch 1, Total Loss: 1.6212894621000775, test Loss 1.092817577054752
Epoch 2, Total Loss: 1.1875022532761734, test Loss 0.8943909520270285
Epoch 3, Total Loss: 0.9863419254250392, test Loss 0.8179759871414739
Epoch 4, Total Loss: 0.8566251941542349, test Loss 0.7553186741299359
Epoch 5, Total Loss: 0.8486735848965272, test Loss 0.5839904232018637
Epoch 6, Total Loss: 0.6981788663392627, test Loss 0.6030377548823195
Epoch 7, Total Loss: 0.815217814519032, test Loss 0.5822663224108928
Epoch 8, Total Loss: 0.6888693318117534, test Loss 0.4892088893273302
Epoch 9, Total Loss: 0.8012364707927855, test Loss 0.4568353849003881
Epoch 10, Total Loss: 0.5837551017040126, test Loss 0.4338855491936293
Epoch 11, Total Loss: 0.5214627675352778, test Loss 0.3644757611633271
Epoch 12, Total Loss: 0.46671394469919497, test Loss 0.33128813404637375
Epoch 13, Total Loss: 0.3954856943456625, test Loss 0.31487383414342757
Epoch 14, Total Loss: 0.3525781493964918, test Loss 0.3424310447352316
Epoch 15, Total Loss: 0.3776874705543102, test Loss 0.3055819430409861
Epoch 16, Total Loss: 0.30115458583531307, test Loss 0.24793208951018786
Epoch 17, Total Loss: 0.3954635648894422, test Loss 0.2195185885017723
Epoch 18, Total Loss: 0.30237393790667766, test Loss 0.2358229822257864
Epoch 19, Total Loss: 0.22243806489122814, test Loss 0.278122125625916
Epoch 20, Total Loss: 0.243178675691528, test Loss 0.3085381676720964
Epoch 21, Total Loss: 0.30976578412454964, test Loss 0.3645959668112741
Epoch 22, Total Loss: 0.3384179912159253, test Loss 0.25918064452621165
Epoch 23, Total Loss: 0.24798635812872233, test Loss 0.3453179492350995
Epoch 24, Total Loss: 0.37858853549539767, test Loss 0.2796979898851496
Epoch 25, Total Loss: 0.2410293605841228, test Loss 0.14162773028378084
Epoch 26, Total Loss: 0.2059516606128728, test Loss 0.22634321159721102
Epoch 27, Total Loss: 0.23635950386499763, test Loss 0.16606497687819907
Epoch 28, Total Loss: 0.15119899634594933, test Loss 0.14011471940401443
Epoch 29, Total Loss: 0.18037495913832222, test Loss 0.18362508353524404
Epoch 30, Total Loss: 0.17299581984364076, test Loss 0.12408615758285449
Epoch 31, Total Loss: 0.14433724024630054, test Loss 0.14447363159810364
Epoch 32, Total Loss: 0.1604315094786523, test Loss 0.12235213642787868
Epoch 33, Total Loss: 0.12386589283990897, test Loss 0.12283704691494848
Epoch 34, Total Loss: 0.11139641146189391, test Loss 0.10061564210898573
Epoch 35, Total Loss: 0.09978799650048462, test Loss 0.0894603360831877
Epoch 36, Total Loss: 0.10207241109591196, test Loss 0.1024254618305002
Epoch 37, Total Loss: 0.09517347997990692, test Loss 0.10145616562129789
Epoch 38, Total Loss: 0.12165743617649442, test Loss 0.1091669492131841
Epoch 39, Total Loss: 0.1154499638563703, test Loss 0.12672365243228406
Epoch 40, Total Loss: 0.11346894837392234, test Loss 0.11634471280372381
Epoch 41, Total Loss: 0.10628131475690517, test Loss 0.17094939960892486
Epoch 42, Total Loss: 0.20016441110110295, test Loss 0.20241281655881274
Epoch 43, Total Loss: 0.14598189129049005, test Loss 0.10385062525140544
