Train samples: 57, Test samples: 14
Train shapes: ε (57, 2, 128, 128), X (57, 2891, 4), Ez (57, 2891)
ILU cache built: 71 samples.
Epoch 0, Total Loss: 16.38068410847842, test Loss 45.65540804926906
Epoch 1, Total Loss: 26.13568642238498, test Loss 8.019915198909091
Epoch 2, Total Loss: 6.439735301395249, test Loss 3.8720866999970798
Epoch 3, Total Loss: 3.5594457967600297, test Loss 4.007162037567831
Epoch 4, Total Loss: 3.5529115584360835, test Loss 3.2291122469454425
Epoch 5, Total Loss: 3.1153017487015013, test Loss 3.284908525194399
Epoch 6, Total Loss: 3.065476280573538, test Loss 3.1536277450304873
Epoch 7, Total Loss: 2.966947009613862, test Loss 3.151904581722166
Epoch 8, Total Loss: 2.947205317172795, test Loss 3.116995949918113
Epoch 9, Total Loss: 2.908206336908683, test Loss 3.1188048302329827
Epoch 10, Total Loss: 2.8978370187169444, test Loss 3.07243389625829
Epoch 11, Total Loss: 2.839570579685343, test Loss 3.0508012393487314
Epoch 12, Total Loss: 2.8453223923194395, test Loss 3.027300956878535
Epoch 13, Total Loss: 2.826812474138644, test Loss 3.047746565923066
Epoch 14, Total Loss: 2.825381788729914, test Loss 2.955523114238459
Epoch 15, Total Loss: 2.7844861411248005, test Loss 2.999060553969297
Epoch 16, Total Loss: 2.7483042471474093, test Loss 3.072220792802117
Epoch 17, Total Loss: 2.8344511206808747, test Loss 2.9173647729838716
Epoch 18, Total Loss: 2.681675156600969, test Loss 2.9065237011460208
Epoch 19, Total Loss: 2.695492368490633, test Loss 2.833741812843589
Epoch 20, Total Loss: 2.577288759188864, test Loss 2.7738811110411206
Epoch 21, Total Loss: 2.56849404150865, test Loss 2.6566215798240296
Epoch 22, Total Loss: 2.5332335648180235, test Loss 2.9849000659091454
Epoch 23, Total Loss: 2.6392833602978705, test Loss 2.7212683184305266
Epoch 24, Total Loss: 2.5762058323328034, test Loss 2.7074314960694355
Epoch 25, Total Loss: 2.505573432994826, test Loss 2.7375008073695404
Epoch 26, Total Loss: 2.4552366696467915, test Loss 2.5833478931876646
Epoch 27, Total Loss: 2.436209880962668, test Loss 2.495963286169026
Epoch 28, Total Loss: 2.2977508252560814, test Loss 2.5801234274750606
Epoch 29, Total Loss: 2.3020150519135187, test Loss 2.512317865661016
Epoch 30, Total Loss: 2.31215341751688, test Loss 2.3885052922588286
Epoch 31, Total Loss: 2.222328494951184, test Loss 2.436209941390261
Epoch 32, Total Loss: 2.1830970663050735, test Loss 2.331967080115539
Epoch 33, Total Loss: 2.1408129252044805, test Loss 2.29360812971606
Epoch 34, Total Loss: 2.0857220003402572, test Loss 2.353375967343327
Epoch 35, Total Loss: 2.155428421802482, test Loss 2.110649194688143
Epoch 36, Total Loss: 2.155193886698261, test Loss 2.8385239315676736
Epoch 37, Total Loss: 2.431647747293142, test Loss 2.501765349724024
Epoch 38, Total Loss: 2.441689852497591, test Loss 2.3911946435973426
Epoch 39, Total Loss: 2.179216973290438, test Loss 2.3345793416225358
Epoch 40, Total Loss: 2.1292589758189293, test Loss 2.169314437591045
Epoch 41, Total Loss: 1.9865801571482637, test Loss 2.1982024253223136
Epoch 42, Total Loss: 1.9688397280909797, test Loss 2.0567747643896634
Epoch 43, Total Loss: 1.8765944242221595, test Loss 2.0017614989213754
Epoch 44, Total Loss: 1.8244556276835988, test Loss 2.0291852105075345
Epoch 45, Total Loss: 1.8140025087027114, test Loss 2.115720998805279
Epoch 46, Total Loss: 1.92235125433467, test Loss 1.9053174409698035
Epoch 47, Total Loss: 1.806502134241682, test Loss 1.989751560733717
Epoch 48, Total Loss: 1.7597568631274778, test Loss 1.913674176245752
Epoch 49, Total Loss: 1.7677802847193613, test Loss 1.9778456886993583
Epoch 50, Total Loss: 1.7726410763208804, test Loss 1.9465843332276633
Epoch 51, Total Loss: 1.7432011560812934, test Loss 1.869051126086481
Epoch 52, Total Loss: 1.6722545743710622, test Loss 1.7122831189041041
Epoch 53, Total Loss: 1.5982452644370881, test Loss 1.702317836846564
Epoch 54, Total Loss: 1.5731578714155297, test Loss 1.7373909733431534
Epoch 55, Total Loss: 1.551297480027215, test Loss 1.7618509636960302
Epoch 56, Total Loss: 1.594964777779644, test Loss 1.5180624237607823
Epoch 57, Total Loss: 1.3755790300431838, test Loss 1.5731032231371322
Epoch 58, Total Loss: 1.4154320167917436, test Loss 1.4633879264135452
Epoch 59, Total Loss: 1.35521068348908, test Loss 1.627226183134433
Epoch 60, Total Loss: 1.326275521439631, test Loss 1.6617738071199175
Epoch 61, Total Loss: 1.5283401349513843, test Loss 1.5451136588862997
Epoch 62, Total Loss: 1.3586846932532692, test Loss 1.4898524070838326
Epoch 63, Total Loss: 1.2999560045096459, test Loss 1.4250217796018634
Epoch 64, Total Loss: 1.2578466219769155, test Loss 1.3649689319376415
Epoch 65, Total Loss: 1.1533654299050915, test Loss 1.3352207008769013
Epoch 66, Total Loss: 1.1642559701943753, test Loss 1.5616093296279812
Epoch 67, Total Loss: 1.3084481294250567, test Loss 1.4561268308227706
Epoch 68, Total Loss: 1.21408183852411, test Loss 1.3174660273462957
Epoch 69, Total Loss: 1.1032052146633564, test Loss 1.3452816453036274
Epoch 70, Total Loss: 1.146007896440305, test Loss 1.4282396904154209
Epoch 71, Total Loss: 1.1793537819531457, test Loss 1.1903033135211454
Epoch 72, Total Loss: 1.0218401638883428, test Loss 1.3485605859996364
Epoch 73, Total Loss: 1.0449425650071429, test Loss 1.1647498949442636
Epoch 74, Total Loss: 0.9908952316959669, test Loss 1.408122943555114
Epoch 75, Total Loss: 1.1297833993877813, test Loss 1.191504638445001
Epoch 76, Total Loss: 0.9842131778524532, test Loss 1.1569493070399823
Epoch 77, Total Loss: 1.0771044521682098, test Loss 1.5475078873264527
Epoch 78, Total Loss: 1.07488470147751, test Loss 1.1069881592487072
Epoch 79, Total Loss: 0.9197166152209199, test Loss 1.1023357069799884
Epoch 80, Total Loss: 0.92193754337906, test Loss 1.1453762600598205
Epoch 81, Total Loss: 0.9057436695943247, test Loss 1.2391999476118027
Epoch 82, Total Loss: 1.0349361496123677, test Loss 1.5202353913625768
Epoch 83, Total Loss: 1.1300517295832637, test Loss 1.4501275163672445
Epoch 84, Total Loss: 1.1262436341883397, test Loss 1.2603839409905615
Epoch 85, Total Loss: 1.0063893356056093, test Loss 1.1226158765041117
Epoch 86, Total Loss: 0.942785963412034, test Loss 1.2819051343504761
Epoch 87, Total Loss: 1.0086135498067628, test Loss 1.1287859663725472
Epoch 88, Total Loss: 0.8930564126434493, test Loss 1.1816048947680982
Epoch 89, Total Loss: 0.9199112408993056, test Loss 1.1093313510297065
Epoch 90, Total Loss: 0.9274519209367388, test Loss 1.0803532643461948
Epoch 91, Total Loss: 0.8360643778084169, test Loss 1.1165039835864883
Epoch 92, Total Loss: 0.8960531451042985, test Loss 1.1511193759018947
Epoch 93, Total Loss: 0.8620619453119718, test Loss 0.9742642632359674
Epoch 94, Total Loss: 0.7700582413946713, test Loss 1.201334744566132
Epoch 95, Total Loss: 0.8651165599555282, test Loss 0.9326969603474509
Epoch 96, Total Loss: 0.7808869326047818, test Loss 1.0636434675278903
Epoch 97, Total Loss: 0.7765194295968707, test Loss 1.0053992598187105
Epoch 98, Total Loss: 0.7684608566654398, test Loss 1.0283652803425105
Epoch 99, Total Loss: 0.7533030046353651, test Loss 0.9048312431505637
Epoch 100, Total Loss: 0.7506925011272895, test Loss 0.95365169994921
Epoch 101, Total Loss: 0.7292798039155597, test Loss 0.8885910000715902
Epoch 102, Total Loss: 0.6885615671358831, test Loss 1.00591062654776
Epoch 103, Total Loss: 0.7275695879296229, test Loss 0.796206474997486
Epoch 104, Total Loss: 0.6720434948731446, test Loss 0.9991225409900396
Epoch 105, Total Loss: 0.7248940482409391, test Loss 0.8416343873376985
Epoch 106, Total Loss: 0.6605647342055271, test Loss 0.9358199159724391
Epoch 107, Total Loss: 0.7135170313360631, test Loss 0.7992456480003683
Epoch 108, Total Loss: 0.6498130515470766, test Loss 0.9721217142624498
Epoch 109, Total Loss: 0.6912970913238454, test Loss 0.7379010563846233
Epoch 110, Total Loss: 0.6153036141366932, test Loss 0.8473594230262518
Epoch 111, Total Loss: 0.5966072640217169, test Loss 0.6785996758369071
Epoch 112, Total Loss: 0.581408671069026, test Loss 0.6778346336762799
Epoch 113, Total Loss: 0.553136863062945, test Loss 0.642464715963461
Epoch 114, Total Loss: 0.5648769489225184, test Loss 0.7279386863477753
Epoch 115, Total Loss: 0.6100454709040403, test Loss 0.6678449481845732
Epoch 116, Total Loss: 0.5612520703648025, test Loss 0.7421549955791913
Epoch 117, Total Loss: 0.5931058418533555, test Loss 0.6262358920501939
Epoch 118, Total Loss: 0.5333445845074503, test Loss 0.7098437228221405
Epoch 119, Total Loss: 0.5729678767587449, test Loss 0.6034928146611829
Epoch 120, Total Loss: 0.5240768740548419, test Loss 0.6108916424568676
Epoch 121, Total Loss: 0.5122403491412189, test Loss 0.6040709098935637
Epoch 122, Total Loss: 0.5576950082627539, test Loss 0.5455210215880029
Epoch 123, Total Loss: 0.48998977141742395, test Loss 0.5681144332445346
Epoch 124, Total Loss: 0.51254665661149, test Loss 0.5061078699348848
Epoch 125, Total Loss: 0.4530513207649852, test Loss 0.4777624717159775
Epoch 126, Total Loss: 0.4615335540293628, test Loss 0.5470676869904391
Epoch 127, Total Loss: 0.4792487878462338, test Loss 0.5109067281417378
Epoch 128, Total Loss: 0.4289083906396281, test Loss 0.6544602992844392
Epoch 129, Total Loss: 0.6405519387308632, test Loss 0.5098391722797824
Epoch 130, Total Loss: 0.5548750600452326, test Loss 0.6426557965450308
Epoch 131, Total Loss: 0.5863959791922593, test Loss 0.7662259219729675
Epoch 132, Total Loss: 0.6833802938713955, test Loss 0.6068348243758532
Epoch 133, Total Loss: 0.5434614498839228, test Loss 0.6255998851061925
Epoch 134, Total Loss: 0.5837333832775384, test Loss 0.5046242125576379
Epoch 135, Total Loss: 0.5273116555685426, test Loss 0.5857905432840751
Epoch 136, Total Loss: 0.5206505760986568, test Loss 0.4870323928147856
Epoch 137, Total Loss: 0.4760822082118507, test Loss 0.5282923662997625
Epoch 138, Total Loss: 0.4605101219275495, test Loss 0.47457680737933156
Epoch 139, Total Loss: 0.46098305509306187, test Loss 0.4519534449283563
Epoch 140, Total Loss: 0.4296330946953157, test Loss 0.48283332618907143
Epoch 141, Total Loss: 0.44081746589787774, test Loss 0.47272246340950064
Epoch 142, Total Loss: 0.3984954594392519, test Loss 0.4028486821727622
Epoch 143, Total Loss: 0.3722196750021646, test Loss 0.3683260957553574
Epoch 144, Total Loss: 0.4484241258612619, test Loss 0.5331812587955742
Epoch 145, Total Loss: 0.46294489590948085, test Loss 0.45973689423302405
Epoch 146, Total Loss: 0.4186473432359489, test Loss 0.48584528860451326
Epoch 147, Total Loss: 0.404217589842466, test Loss 0.4190037005212559
Epoch 148, Total Loss: 0.39225394061702307, test Loss 0.40550754041882336
Epoch 149, Total Loss: 0.3540930687258231, test Loss 0.3593184633661291
Epoch 150, Total Loss: 0.37820190987389524, test Loss 0.43866112889430037
Epoch 151, Total Loss: 0.37950338519577087, test Loss 0.4635651851646814
Epoch 152, Total Loss: 0.37062360405166855, test Loss 0.4014919735848698
Epoch 153, Total Loss: 0.3309747280978623, test Loss 0.36239052071854955
Epoch 154, Total Loss: 0.3331789344087981, test Loss 0.3579529045883627
Epoch 155, Total Loss: 0.3474316133624428, test Loss 0.33243045104371427
Epoch 156, Total Loss: 0.3296809065233186, test Loss 0.41240891862291046
Epoch 157, Total Loss: 0.3750216826565559, test Loss 0.42413516830538034
Epoch 158, Total Loss: 0.34842609861939056, test Loss 0.4212801869876084
Epoch 159, Total Loss: 0.36309135269904436, test Loss 0.38232960405067984
Epoch 160, Total Loss: 0.3433778785230344, test Loss 0.3887861848358097
